sentence	sentence_id	locale	reason
মাইলেজ কেনেকুৱা দিয়ে বাইকখনে?	183a291227d8c0c579f1a7d734707414c43586973f107ebedd90bdd3a11f4134	as	grammar-or-spelling
মাইলেজ কেনেকুৱা দিয়ে বাইকখনে?	183a291227d8c0c579f1a7d734707414c43586973f107ebedd90bdd3a11f4134	as	difficult-pronounce
প্ৰায় দহ বছৰ বয়সত প্ৰাইমেৰী পৰীক্ষাত উৰ্ত্তীৰ্ণ হৈ তেওঁ বৃত্তি লাভ কৰে।	15d54b21bb85a46cabdd071c209a904fbcd9083649aab0981e92945ae9527ede	as	grammar-or-spelling
এওঁৰ ভয়ত সকলোৱে প্ৰকৃততে কঁপিও থাকে।	0037a847048619107671448953c807b342d14f8e3fa5c6bfe8d349dd44f1e97d	as	???? ???
ঈশ্বৰ মোৰ সহায় হওক কি নহওকেই মই তেঁওক কেতিয়াও নেৰে।	2bb91cded801fc4537ef5981eea94cc87e513487eb93cdd47814514ff55accac	as	grammar-or-spelling
আগদিনা ইমান আগ্ৰহেৰে আগ বাঢ়ি পিচ দিনা পলাব কিয়?	309d94400ecb0f874f6d6bc82bdafd83dcfcacf037d792207bf7e5617a003009	as	grammar-or-spelling
দেউতাকে কলে- "ই আপোনাৰ লগত থাকি ভাল পাইছে, পঢ়িছেও।"	29814ba5a10d6218da587e3f3772de65606cac653546b947e56a23ab42b03adb	as	grammar-or-spelling
হোৱা এই খন লৈ যোৱা, যেতিয়া পৰামৰ্শ লবৰ দৰকাৰ হব তেতিয়া খুলি পঢ়ি চাবা।	2ed17074f832efae1edf414ce234fa31c791a85104e792b367a2cf8ca8104ef0	as	grammar-or-spelling
পৰিষ্কাৰ-পৰিচ্ছন্নতা, স্বাস্থ্য সুৰক্ষা বিধি, বেমাৰৰ পৰা হাত সৰাৰ সাধাৰণ নিয়ম-প্রণালী আদি।	173667f8d1fa16937ea6e3a528fb1f557d310a74e5e524040d115c20b507b6f1	as	offensive-language
ঈশ্বৰ মোৰ সহায় হওক কি নহওকেই মই তেঁওক কেতিয়াও নেৰে।	2bb91cded801fc4537ef5981eea94cc87e513487eb93cdd47814514ff55accac	as	grammar-or-spelling
